CoC Number,CoC Name,CoC Category,"Total Homeless, 2019","Sheltered Homeless, 2019","Unsheltered Homeless, 2019","Homeless Individuals, 2019","Sheltered Homeless Individuals, 2019","Unsheltered Homeless Individuals, 2019","Homeless People in Families, 2019","Sheltered Homeless People in Families, 2019","Unsheltered Homeless People in Families, 2019","Chronically Homeless, 2019","Sheltered Chronically Homeless, 2019","Unsheltered Chronically Homeless, 2019","Chronically Homeless Individuals, 2019","Sheltered Chronically Homeless Individuals, 2019","Unsheltered Chronically Homeless Individuals, 2019","Chronically Homeless People in Families, 2019","Sheltered Chronically Homeless People in Families, 2019","Unsheltered Chronically Homeless People in Families, 2019","Homeless Veterans, 2019","Sheltered Homeless Veterans, 2019","Unsheltered Homeless Veterans, 2019","Homeless Unaccompanied Youth (Under 25), 2019","Sheltered Homeless Unaccompanied Youth (Under 25), 2019","Unsheltered Homeless Unaccompanied Youth (Under 25), 2019","Homeless Unaccompanied Youth (Under 18), 2019","Sheltered Homeless Unaccompanied Youth (Under 18), 2019","Unsheltered Homeless Unaccompanied Youth (Under 18), 2019","Homeless Unaccompanied Youth (Age 18-24), 2019","Sheltered Homeless Unaccompanied Youth (Age 18-24), 2019","Unsheltered Homeless Unaccompanied Youth (Age 18-24), 2019","Parenting Youth (Under 25), 2019","Sheltered Parenting Youth (Under 25), 2019","Unsheltered Parenting Youth (Under 25), 2019","Parenting Youth Under 18, 2019","Homeless Parenting Youth Under 18, 2019","Unsheltered Homeless Parenting Youth Under 18, 2019","Parenting Youth Age 18-24, 2019","Sheltered Parenting Youth Age 18-24, 2019","Unsheltered Parenting Youth Age 18-24, 2019","Children of Parenting Youth, 2019","Sheltered Children of Parenting Youth, 2019","Unsheltered Children of Parenting Youth, 2019"
MD-513,"Wicomico, Somerset, Worcester Counties CoC",Largely Rural CoC,275,238,37,198,161,37,77,77,0,48,41,7,41,34,7,7,7,0,15,11,4,7,4,3,0,0,0,7,4,3,6,6,0,0,0,0,6,6,0,8,8,0
MD-600,Prince George's County CoC,Largely Suburban CoC,447,374,73,200,127,73,247,247,0,46,14,32,44,12,32,2,2,0,28,22,6,23,18,5,1,1,0,22,17,5,13,13,0,0,0,0,13,13,0,17,17,0
MD-601,Montgomery County CoC,Largely Suburban CoC,647,572,75,441,366,75,206,206,0,11,9,2,11,9,2,0,0,0,13,11,2,22,17,5,0,0,0,22,17,5,4,4,0,0,0,0,4,4,0,4,4,0
ME-500,Maine Statewide CoC,Largely Rural CoC,"2,106","2,011",95,"1,232","1,140",92,874,871,3,226,193,33,211,178,33,15,15,0,116,108,8,125,112,13,13,13,0,112,99,13,16,16,0,0,0,0,16,16,0,19,19,0
MI-500,Michigan Balance of State CoC,Largely Rural CoC,"1,245","1,111",134,624,518,106,621,593,28,79,60,19,57,38,19,22,22,0,51,47,4,82,76,6,4,4,0,78,72,6,18,18,0,0,0,0,18,18,0,23,23,0
MI-501,Detroit CoC,Major City CoC,"1,965","1,879",86,"1,400","1,314",86,565,565,0,279,246,33,263,230,33,16,16,0,290,281,9,102,99,3,1,1,0,101,98,3,50,50,0,0,0,0,50,50,0,76,76,0
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",Largely Suburban CoC,222,205,17,90,73,17,132,132,0,21,17,4,12,8,4,9,9,0,23,23,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MI-503,"St. Clair Shores, Warren/Macomb County CoC",Largely Suburban CoC,265,245,20,193,175,18,72,70,2,12,10,2,12,10,2,0,0,0,12,12,0,10,10,0,5,5,0,5,5,0,4,4,0,0,0,0,4,4,0,4,4,0
MI-504,"Pontiac, Royal Oak/Oakland County CoC",Largely Suburban CoC,425,382,43,247,219,28,178,163,15,47,42,5,41,36,5,6,6,0,11,11,0,39,39,0,7,7,0,32,32,0,23,21,2,0,0,0,23,21,2,36,35,1
MI-505,Flint/Genesee County CoC,Largely Suburban CoC,450,402,48,288,240,48,162,162,0,51,41,10,49,39,10,2,2,0,16,13,3,19,18,1,2,2,0,17,16,1,35,35,0,0,0,0,35,35,0,99,99,0
MI-506,"Grand Rapids, Wyoming/Kent County CoC",Other Largely Urban CoC,759,743,16,435,419,16,324,324,0,121,118,3,113,110,3,8,8,0,48,47,1,42,41,1,8,8,0,34,33,1,12,12,0,0,0,0,12,12,0,20,20,0
MI-507,"Portage, Kalamazoo City & County CoC",Other Largely Urban CoC,702,529,173,440,284,156,262,245,17,89,48,41,76,35,41,13,13,0,17,14,3,42,41,1,5,5,0,37,36,1,11,11,0,0,0,0,11,11,0,16,16,0
MI-508,"Lansing, East Lansing/Ingham County CoC",Other Largely Urban CoC,476,466,10,303,293,10,173,173,0,40,37,3,40,37,3,0,0,0,26,25,1,28,28,0,4,4,0,24,24,0,13,13,0,0,0,0,13,13,0,17,17,0
MI-509,Washtenaw County CoC,Largely Suburban CoC,273,261,12,193,181,12,80,80,0,58,51,7,58,51,7,0,0,0,19,19,0,29,27,2,2,2,0,27,25,2,4,4,0,0,0,0,4,4,0,6,6,0
MI-510,Saginaw City & County CoC,Largely Suburban CoC,364,352,12,186,174,12,178,178,0,25,25,0,16,16,0,9,9,0,16,16,0,24,24,0,3,3,0,21,21,0,10,10,0,0,0,0,10,10,0,21,21,0
MI-511,Lenawee County CoC,Largely Rural CoC,123,120,3,60,57,3,63,63,0,6,3,3,6,3,3,0,0,0,4,4,0,7,6,1,1,1,0,6,5,1,3,3,0,0,0,0,3,3,0,5,5,0
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",Largely Rural CoC,168,164,4,122,118,4,46,46,0,44,44,0,38,38,0,6,6,0,6,6,0,10,9,1,1,1,0,9,8,1,2,2,0,0,0,0,2,2,0,1,1,0
MI-513,"Marquette, Alger Counties CoC",Largely Rural CoC,53,53,0,30,30,0,23,23,0,2,2,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MI-514,Battle Creek/Calhoun County CoC,Other Largely Urban CoC,241,203,38,162,126,36,79,77,2,38,24,14,31,17,14,7,7,0,31,28,3,12,8,4,1,0,1,11,8,3,4,4,0,0,0,0,4,4,0,7,7,0
MI-515,Monroe City & County CoC,Largely Suburban CoC,167,167,0,91,91,0,76,76,0,5,5,0,3,3,0,2,2,0,8,8,0,8,8,0,0,0,0,8,8,0,4,4,0,0,0,0,4,4,0,5,5,0
MI-516,"Norton Shores, Muskegon City & County CoC",Largely Suburban CoC,136,120,16,87,71,16,49,49,0,14,8,6,14,8,6,0,0,0,6,6,0,11,6,5,0,0,0,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0
MI-517,Jackson City & County CoC,Largely Rural CoC,113,100,13,90,77,13,23,23,0,7,7,0,7,7,0,0,0,0,7,6,1,7,6,1,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0
MI-518,Livingston County CoC,Largely Suburban CoC,89,89,0,40,40,0,49,49,0,7,7,0,1,1,0,6,6,0,0,0,0,5,5,0,0,0,0,5,5,0,1,1,0,0,0,0,1,1,0,1,1,0
MI-519,Holland/Ottawa County CoC,Largely Suburban CoC,225,208,17,128,113,15,97,95,2,5,5,0,0,0,0,5,5,0,8,8,0,9,9,0,0,0,0,9,9,0,6,6,0,0,0,0,6,6,0,11,11,0
MI-523,Eaton County CoC,Largely Suburban CoC,114,114,0,3,3,0,111,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,3,3,0
MN-500,Minneapolis/Hennepin County CoC,Major City CoC,"3,400","2,797",603,"2,057","1,457",600,"1,343","1,340",3,758,558,200,665,465,200,93,93,0,123,94,29,259,224,35,23,21,2,236,203,33,42,42,0,1,1,0,41,41,0,53,53,0
MN-501,Saint Paul/Ramsey County CoC,Other Largely Urban CoC,"1,579","1,262",317,"1,002",752,250,577,510,67,456,257,199,376,206,170,80,51,29,70,59,11,104,71,33,8,8,0,96,63,33,30,29,1,2,2,0,28,27,1,49,47,2
MN-502,Rochester/Southeast Minnesota CoC,Largely Rural CoC,452,394,58,210,168,42,242,226,16,46,27,19,38,22,16,8,5,3,9,6,3,75,66,9,5,4,1,70,62,8,12,12,0,0,0,0,12,12,0,20,20,0
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",Largely Suburban CoC,686,450,236,372,185,187,314,265,49,130,67,63,105,45,60,25,22,3,24,15,9,75,49,26,9,9,0,66,40,26,13,12,1,1,1,0,12,11,1,16,13,3
MN-504,Northeast Minnesota CoC,Largely Rural CoC,90,62,28,47,19,28,43,43,0,6,4,2,4,2,2,2,2,0,2,0,2,8,5,3,2,0,2,6,5,1,4,4,0,0,0,0,4,4,0,2,2,0
MN-505,St. Cloud/Central Minnesota CoC,Largely Rural CoC,679,466,213,332,174,158,347,292,55,143,110,33,64,43,21,79,67,12,32,28,4,55,40,15,3,2,1,52,38,14,20,16,4,0,0,0,20,16,4,31,27,4
MN-506,Northwest Minnesota CoC,Largely Rural CoC,268,260,8,124,116,8,144,144,0,27,27,0,27,27,0,0,0,0,9,9,0,44,43,1,8,8,0,36,35,1,20,20,0,0,0,0,20,20,0,18,18,0
MN-508,Moorhead/West Central Minnesota CoC,Largely Rural CoC,216,215,1,97,96,1,119,119,0,16,16,0,14,14,0,2,2,0,9,9,0,18,18,0,7,7,0,11,11,0,12,12,0,0,0,0,12,12,0,21,21,0
MN-509,Duluth/St.Louis County CoC,Largely Rural CoC,519,336,183,315,146,169,204,190,14,155,39,116,148,32,116,7,7,0,17,13,4,37,23,14,5,5,0,32,18,14,18,17,1,1,1,0,17,16,1,16,15,1
MN-511,Southwest Minnesota CoC,Largely Rural CoC,88,82,6,30,24,6,58,58,0,8,8,0,3,3,0,5,5,0,2,1,1,10,9,1,0,0,0,10,9,1,5,5,0,0,0,0,5,5,0,5,5,0
MO-500,St. Louis County CoC,Largely Suburban CoC,487,460,27,281,257,24,206,203,3,43,37,6,29,23,6,14,14,0,21,19,2,123,121,2,21,21,0,102,100,2,41,41,0,4,4,0,37,37,0,48,48,0
MO-501,St.Louis City CoC,Other Largely Urban CoC,"1,031",978,53,746,693,53,285,285,0,191,184,7,172,165,7,19,19,0,141,131,10,46,43,3,2,2,0,44,41,3,30,30,0,2,2,0,28,28,0,35,35,0
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",Largely Suburban CoC,438,311,127,237,143,94,201,168,33,29,18,11,18,9,9,11,9,2,11,9,2,39,25,14,6,6,0,33,19,14,9,7,2,1,1,0,8,6,2,9,7,2
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",Other Largely Urban CoC,492,411,81,335,254,81,157,157,0,121,87,34,107,73,34,14,14,0,32,19,13,48,36,12,10,8,2,38,28,10,6,6,0,0,0,0,6,6,0,9,9,0
MO-602,"Joplin/Jasper, Newton Counties CoC",Largely Rural CoC,237,188,49,188,141,47,49,47,2,32,19,13,22,9,13,10,10,0,44,43,1,12,11,1,5,5,0,7,6,1,1,1,0,0,0,0,1,1,0,2,2,0
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",Other Largely Urban CoC,255,218,37,169,136,33,86,82,4,92,70,22,79,57,22,13,13,0,13,11,2,12,12,0,0,0,0,12,12,0,3,1,2,0,0,0,3,1,2,4,2,2
MO-604,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",Major City CoC,"1,979","1,659",320,"1,392","1,084",308,587,575,12,337,166,171,305,145,160,32,21,11,116,73,43,95,80,15,40,37,3,55,43,12,28,28,0,13,13,0,15,15,0,32,32,0
MO-606,Missouri Balance of State CoC,Largely Rural CoC,"1,362","1,003",359,916,603,313,446,400,46,272,164,108,226,118,108,46,46,0,114,90,24,108,95,13,20,20,0,88,75,13,27,26,1,0,0,0,27,26,1,46,44,2
MP-500,Northern Mariana Islands CoC,Largely Rural CoC,"1,807",20,"1,787",423,18,405,"1,384",2,"1,382",42,18,24,22,16,6,20,2,18,4,0,4,2,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0
MS-500,"Jackson/Rankin, Madison Counties CoC",Largely Suburban CoC,408,302,106,346,240,106,62,62,0,173,67,106,166,60,106,7,7,0,44,36,8,24,15,9,6,6,0,18,9,9,1,1,0,0,0,0,1,1,0,1,1,0
MS-501,Mississippi Balance of State CoC,Largely Rural CoC,480,291,189,380,193,187,100,98,2,31,2,29,31,2,29,0,0,0,20,13,7,28,20,8,1,1,0,27,19,8,1,1,0,0,0,0,1,1,0,2,2,0
MS-503,Gulf Port/Gulf Coast Regional CoC,Largely Rural CoC,296,105,191,237,46,191,59,59,0,19,2,17,19,2,17,0,0,0,8,0,8,4,1,3,0,0,0,4,1,3,2,2,0,0,0,0,2,2,0,2,2,0
MT-500,Montana Statewide CoC,Largely Rural CoC,"1,357","1,012",345,947,656,291,410,356,54,228,133,95,194,106,88,34,27,7,205,136,69,82,57,25,8,8,0,74,49,25,19,19,0,0,0,0,19,19,0,32,32,0
NC-500,Winston-Salem/Forsyth County CoC,Other Largely Urban CoC,454,430,24,380,356,24,74,74,0,78,73,5,68,63,5,10,10,0,49,48,1,27,24,3,0,0,0,27,24,3,1,1,0,0,0,0,1,1,0,3,3,0
NC-501,Asheville/Buncombe County CoC,Largely Suburban CoC,580,502,78,539,467,72,41,35,6,123,83,40,121,81,40,2,2,0,256,248,8,29,17,12,5,5,0,24,12,12,3,1,2,0,0,0,3,1,2,3,2,1
NC-502,Durham City & County CoC,Other Largely Urban CoC,361,280,81,252,175,77,109,105,4,82,61,21,64,43,21,18,18,0,71,64,7,12,8,4,0,0,0,12,8,4,6,6,0,0,0,0,6,6,0,7,7,0
NC-503,North Carolina Balance of State CoC,Largely Rural CoC,"2,989","2,139",850,"2,213","1,456",757,776,683,93,299,174,125,267,148,119,32,26,6,157,124,33,152,125,27,2,2,0,150,123,27,13,13,0,0,0,0,13,13,0,18,18,0
NC-504,"Greensboro, High Point CoC",Other Largely Urban CoC,586,525,61,460,399,61,126,126,0,44,40,4,38,34,4,6,6,0,56,53,3,26,25,1,8,8,0,18,17,1,8,8,0,2,2,0,6,6,0,11,11,0
NC-505,Charlotte/Mecklenberg CoC,Major City CoC,"1,742","1,546",196,"1,223","1,027",196,519,519,0,247,174,73,235,162,73,12,12,0,165,148,17,60,46,14,0,0,0,60,46,14,9,9,0,0,0,0,9,9,0,12,12,0
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",Largely Suburban CoC,431,269,162,342,184,158,89,85,4,49,23,26,49,23,26,0,0,0,27,22,5,11,7,4,0,0,0,11,7,4,4,4,0,1,1,0,3,3,0,7,7,0
NC-507,Raleigh/Wake County CoC,Major City CoC,970,734,236,680,462,218,290,272,18,126,65,61,115,57,58,11,8,3,67,41,26,39,27,12,3,3,0,36,24,12,4,4,0,0,0,0,4,4,0,6,6,0
